Date,Close,Open,High,Low,Volumn
2013-02-05,254.82,254.49,255.77,253.5,"76,725"
2013-02-06,254.31,255.44,255.64,254.21,"71,920"
2013-02-07,254,254.68,255.97,253.8,"69,487"
2013-02-08,257.09,253.8,257.9,253.61,"74,464"
2013-02-12,256.65,258.33,258.44,256.35,"54,159"
2013-02-13,260.92,257.65,260.97,257.22,"72,431"
2013-02-14,261.44,261.14,262.52,260.41,"66,977"
2013-02-15,261.61,261.58,261.85,260.79,"88,344"
2013-02-18,261.63,261.3,262.29,260.49,"56,463"
2013-02-19,262.16,261.64,262.89,261.28,"58,775"
2013-02-20,268.07,263.79,268.07,263.51,"96,248"
2013-02-21,266.85,266.64,267.73,266.1,"80,757"
2013-02-22,267.15,265.63,268.89,265.56,"86,921"
2013-02-25,266.01,267.7,267.96,265.89,"62,739"
2013-02-26,264.68,263.76,265.71,263.57,"86,848"
2013-02-27,265.04,265.91,266.94,264.57,"64,994"
2013-02-28,268.01,267.13,268.95,266.69,"79,508"
2013-03-04,266.14,268.51,268.61,265.78,"72,089"
2013-03-05,266.54,267.57,268.88,266.54,"64,854"
2013-03-06,267.25,269.01,269.12,266.62,"86,655"
2013-03-07,264.78,266.83,266.83,263.88,"67,345"
2013-03-08,264.57,264.25,264.92,263.1,"62,069"
2013-03-11,264.15,263.75,264.81,261.5,"65,572"
2013-03-12,262.43,264.66,264.75,262.01,"58,268"
2013-03-13,263.33,262.69,263.38,261.67,"64,158"
2013-03-14,263.37,263.41,263.41,260.08,"76,656"
2013-03-15,260.84,264.44,264.44,260.83,"85,507"
2013-03-18,258.3,259.03,260.15,258.17,"61,648"
2013-03-19,259.79,259.69,261.42,258.85,"98,143"
2013-03-20,257.04,258.3,259.81,257.04,"86,769"
2013-03-21,255.82,258.34,258.9,255.82,"65,455"
2013-03-22,255.33,255.61,256.54,255.1,"71,332"
2013-03-25,259.58,258.18,260.18,258.06,"66,160"
2013-03-26,260.54,259.42,261.63,259.22,"69,088"
2013-03-27,261.86,261.7,262.5,259.02,"63,430"
2013-03-28,261.86,261.44,262.28,260.84,"60,922"
2013-03-29,263.39,263.88,264.74,263.31,"63,239"
2013-04-01,262.27,264.16,264.19,262.03,"53,065"
2013-04-02,260.79,262.37,263.16,259.06,"109,188"
2013-04-03,260.36,261.32,261.65,258.88,"107,593"
2013-04-04,257.05,257.57,257.94,254.63,"92,191"
2013-04-05,252.77,255.4,256.16,251.35,"84,369"
2013-04-08,252.39,252.85,253.92,251.84,"75,741"
2013-04-09,252.53,252.44,254.52,250.14,"81,651"
2013-04-10,254.34,254.4,255.14,252.94,"88,086"
2013-04-11,256.18,255.4,256.18,253.04,"88,424"
2013-04-12,252,256.81,257.12,251.34,"90,867"
2013-04-15,251.51,250.7,252.6,249.6,"85,935"
2013-04-16,251.78,248.69,252.61,248.37,"102,488"
2013-04-17,251.51,253.46,253.61,249.63,"104,163"
2013-04-18,247.85,250.55,250.93,247.82,"77,142"
2013-04-19,248.77,247.64,249.41,246.11,"67,332"
2013-04-22,251.46,248.35,251.46,247.89,"59,871"
2013-04-23,250.01,251.12,251.16,248.64,"58,450"
2013-04-24,252,251.74,252.65,250.03,"89,097"
2013-04-25,254.49,252.2,254.49,251.97,"92,724"
2013-04-26,253.04,254.11,254.42,252.79,"78,717"
2013-04-29,252.25,253.63,253.67,251.55,"63,971"
2013-04-30,255.72,253.17,256.36,253.13,"91,719"
2013-05-02,254.92,255.49,256.32,254.52,"81,029"
2013-05-03,256.02,256.4,256.47,254.5,"79,861"
2013-05-06,255.2,257.63,258.56,254.96,"74,482"
2013-05-07,253.84,255.22,255.41,253.61,"63,806"
2013-05-08,254.02,254.86,255.27,253.47,"71,738"
2013-05-09,257.53,255,257.99,254.77,"94,754"
2013-05-10,252.72,256.94,256.96,252.72,"77,900"
2013-05-13,253.29,251.46,253.29,251.19,"50,981"
2013-05-14,256.29,254.09,256.67,253.98,"84,231"
2013-05-15,256.6,256.56,256.74,255.49,"65,481"
2013-05-16,258.99,257.94,259.81,257.94,"93,760"
2013-05-20,258.6,259.51,259.9,258.6,"83,861"
2013-05-21,258.18,260.31,260.48,257.59,"76,263"
2013-05-22,260.19,259.7,260.89,259.19,"80,622"
